customer_age,age_group,gender,income_category,income_inr,income_group,credit_limit,total_trans_amt,total_trans_count,avg_trans_value,spending_level
45,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,12691,1144,42,27.23809524,Low
49,46 - 55,F,Less than $40K,<Rs33L,Low Income,8256,1291,33,39.12121212,Medium
51,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,3418,1887,20,94.35,Medium
40,36 - 45,F,Less than $40K,<Rs33L,Low Income,3313,1171,20,58.55,Low
40,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,4716,816,28,29.14285714,Low
44,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,4010,1088,24,45.33333333,Low
51,46 - 55,M,$120K +,Rs1Cr +,High Income,34516,1330,31,42.90322581,Medium
32,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,29081,1538,36,42.72222222,Medium
37,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,22352,1350,24,56.25,Medium
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11656,1441,32,45.03125,Medium
42,36 - 45,M,$120K +,Rs1Cr +,High Income,6748,1201,42,28.5952381,Medium
65,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,9095,1314,26,50.53846154,Medium
56,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,11751,1539,17,90.52941176,Medium
35,26 - 35,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8547,1311,33,39.72727273,Medium
57,55+,F,Less than $40K,<Rs33L,Low Income,2436,1570,29,54.13793103,Medium
44,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,4234,1348,27,49.92592593,Medium
48,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,30367,1671,27,61.88888889,Medium
41,36 - 45,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,13535,1028,21,48.95238095,Low
61,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,3193,1336,30,44.53333333,Medium
45,36 - 45,F,Unknown,Unknown,Unknown,14470,1207,21,57.47619048,Medium
47,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,20979,1178,27,43.62962963,Low
62,55+,F,Less than $40K,<Rs33L,Low Income,1438.3,692,16,43.25,Low
41,36 - 45,M,$40K - $60K,Rs33L - Rs50L,Low Income,4470,931,18,51.72222222,Low
47,46 - 55,F,Less than $40K,<Rs33L,Low Income,2492,1126,23,48.95652174,Low
54,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12217,1110,21,52.85714286,Low
41,36 - 45,F,Less than $40K,<Rs33L,Low Income,7768,1051,22,47.77272727,Low
59,55+,M,$40K - $60K,Rs33L - Rs50L,Low Income,14784,1197,23,52.04347826,Low
63,55+,M,$60K - $80K,Rs50L - Rs66L,Mid Income,10215,1904,40,47.6,Medium
44,36 - 45,F,Unknown,Unknown,Unknown,10100,1052,18,58.44444444,Low
47,46 - 55,M,$40K - $60K,Rs33L - Rs50L,Low Income,4785,1045,38,27.5,Low
53,46 - 55,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,2753,1038,25,41.52,Low
53,46 - 55,M,$60K - $80K,Rs50L - Rs66L,Mid Income,2451,1596,26,61.38461538,Medium
41,36 - 45,M,$60K - $80K,Rs50L - Rs66L,Mid Income,8923,1589,24,66.20833333,Medium
53,46 - 55,F,Less than $40K,<Rs33L,Low Income,2650,1411,28,50.39285714,Medium
58,55+,M,$80K - $120K,Rs66L - Rs1Cr,Mid Income,12555,1291,24,53.79166667,Medium
55,46 - 55,F,Less than $40K,<Rs33L,Low Income,3520,1407,43,32.72093023,Medium
